标题,年份,类型,媒体类型,个人评分,观影日期,简介,封面,背景图,演员
我的老婆是蛇女,2025,,short,7.5,2025/11/19,周恒是一个普通上班族，外表平凡、生活平淡，却在一次雨夜中救下了神秘美丽的温苒，两人迅速坠入爱河并闪婚。婚后温苒温柔体贴、贤惠能干，成为众人羡慕的对象，但一系列诡异事件的发生，逐渐让周恒对妻子的身份产生怀疑。,https://p6-novel-sign.byteimg.com/novel-pic/9f6c3d082262c89570f1d2f1790d8950~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1771161678&x-signature=f7tJrpORFmGZbduYS9PLvYesIjI%3D,,刘月涛;宋佳音
心动还请告诉我,2025,,short,9,2025-11-17,林浅被誉为京城第一名媛，被安排嫁给傅聿川，恪守妻礼，却并不受他的待见。在傅聿川印象里，她性格木讷呆板，了无生趣，像极了旧时代里的女人。后来，她递离婚协议书给他，原本无趣的女人突然生动起来。,https://cdn.zhaoduanju.cn/cover/2025/10/R5wZbZAxwXUJDR4jynx8nHpirC5wwdaewSSNICea.jpg,,王凯沐;郭宇欣;高玮
心动还请告诉我,2025,,short,9,2025/11/17,林浅被誉为京城第一名媛，被安排嫁给傅聿川，恪守妻礼，却并不受他的待见。在傅聿川印象里，她性格木讷呆板，了无生趣，像极了旧时代里的女人。后来，她递离婚协议书给他，原本无趣的女人突然生动起来。,https://cdn.duanjubaike.cn/cover/2025/10/R5wZbZAxwXUJDR4jynx8nHpirC5wwdaewSSNICea.jpg,,王凯沐;郭宇欣
从此无心爱良夜,2025,,short,8,2025/11/16,沈淮竹（女主）救下挚爱萧承（男主），并与他相恋三年，就在他们准备走进结婚殿堂之时，萧承的白月光夏沫突然回国，并冒充当初救他之人，打破了沈淮竹幸福的美梦。沈淮竹打脸虐渣，转身离开，毫不犹豫的走向新的人生。,https://p6-novel-sign.byteimg.com/novel-pic/4532da3f5ca9356c1eb32a24d208ce6b~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1771034451&x-signature=uLV3IIz45BD6eYM09z2isPRE0DQ%3D,,孔奇力;赵英男
我们野蛮生长,2025,,short,9,2025/11/7,影后江南为逃避虚伪恋情和事业低谷，深入荒漠体验新戏角色，却与暗中追踪通缉犯的工程师陆北狭路相逢，陆北为保护江南伪装成当地安保将其“拘留”。误会解除后，江南又因目睹凶犯真容而卷入生死迷局，被迫和陆北“假结婚”以协助任务，谁知因戏生情，暧昧走火。风沙之间，两个破碎而生性浪漫的灵魂在谎言与危险中相互救赎，在长夜尽头为彼此点燃燎原之火——他们，是伤痕累累却永不低头的理想主义者。,https://p6-novel-sign.byteimg.com/novel-pic/587599c319c59c81c32de3c93b88ef82~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770256735&x-signature=%2BLt6is2dT0ODXYO6ALubCILGp5w%3D,,白方文;郭宇欣
这个纨绔太无敌，女帝绷不住了,2025,,short,8,2025/11/2,21世纪大学生赵奕穿越到大周，开局强占安国公孙女楚嫣然，被女帝与安国公捉奸将斩。他不服并立誓揭皇榜退北狄，战场上，赵奕用收集的粪便熬制“金汁”泼敌，大胜回京。他获封兵部员外郎，又献烧制水泥砖固城、抄家补国库之策，还持女帝金牌震慑不配合的工部尚书，久而久之，女帝与楚嫣然皆倾心于他，赵奕“臣发誓只进入身体，不进入生活”,https://p9-novel-sign.byteimg.com/novel-pic/6378d7e432da4eb2b60f1f5240ffdf62~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1769840491&x-signature=0AM5WAAyt%2FdI8V0PqxgKB28dQo0%3D,,孔奇力
离婚后，我成了万人迷,2025,,short,8,2025/11/1,林家弃子林泽被蓝星暗夜之王魂穿后，一改懦弱，征服苏清雪，吸引沈甜梨、姜清月、宋南音。他化解林南、纪泽峰、白道龙等危机，觉醒功法。前世妻唐雪妃寻来，误认他后联手白道龙，最终见他功法知真相，却已无法挽回。,https://p9-novel-sign.byteimg.com/novel-pic/fbc6db19e466f642d8845bf000f967f1~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1769673439&x-signature=ee4egUU2Th8M7ius9D6X1urryKo%3D,,孔奇力;咸俊旭
老板当久了，我只想送外卖,2025,,short,8,2025/10/26,一场雷击让霸总顾景辰和外卖员江川灵魂互换。从此，总裁在平民生活中为柴米油盐手忙脚乱，感受着平凡夫妻的温情与摩擦；外卖员则在豪门中强装镇定，周旋于暗流汹涌的商战。两人在鸡飞狗跳的错位人生中笑料百出，也逐渐理解了彼此的世界，找到了生命中真正珍贵的东西。,https://p6-novel-sign.byteimg.com/novel-pic/20d5f4869fe466b27dd5fd282d30200e~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1768882864&x-signature=TetWe7VIPuKQu0Y%2Fat8NKFpZebk%3D,,高哲
八零俏妻她又辣又飒,2025,,short,9,2025/10/18,时尚总裁左颜穿越成八零懒妇，遇丈夫陆泽野提离婚。她凭设计、经商才华逆袭，打脸江雪姐妹等对手，获港商赏识。陆泽野渐被吸引，两人化解危机，终收获事业、爱情与双胞胎，幸福圆满。,https://p6-novel-sign.byteimg.com/novel-pic/824aa26fc39ea821dcb0866443f55044~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1766553701&x-signature=VdC8S9Rd3ZEs8JC6LGFsMDkk0N8%3D,,邹盛文
危险服务,2025,,short,8,2025/10/16,伪装成盲人的催乳师孙宇，接到一单前往豪华别墅云曦兰亭的上门服务。抵达后，他意外撞见男主人程鹏正在处理一具女性尸体。程鹏与其情妇顾婉清立即对孙宇展开一连串心理与生理上的残酷试探，不断逼迫其暴露并非真盲的真相。孙宇在极度恐惧中周旋，利用专业演技和特制隐形眼镜艰难地伪装自己。,https://p3-novel-sign.byteimg.com/novel-pic/6334940beb2959d4284cd7f31358ad47~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1767325033&x-signature=OeFwKIgxr29rPOZMFSVHznNktQg%3D,,黄星齐
睡不醒的大小姐,2025,,short,8.5,2025/10/16,紫苑1号善良正直，明知会牺牲自己永远被困在平行空间里，却毅然决然选择和恶势力斗争到底，而紫苑2号有着同样的长相却自私善妒，处心积虑通过各种手段想拥有紫苑1号的生活。几番较量下来，最终正义战胜了邪恶。,https://p3-novel-sign.byteimg.com/novel-pic/5e0a8c31627c91e0d9475aaacb57e463~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1767792444&x-signature=63h7JEtTrQaI98CfUEowxWrdx6Q%3D,,黄星齐
死亡三号线之浴血新娘,2025,,short,8.5,2025/10/12,婚礼当天，新娘赵敏乘坐地铁三号线赶往现场。不料丈夫张洋却打来电话表示要和赵敏分手。心急如焚的赵敏想要解释，但手机突然失去信号，随后赵敏惊恐地发现，地铁驶入了一条完全陌生的路线。面对错乱的时间、暴毙的乘客、诡异的站台，你敢下车吗？,https://p3-novel-sign.byteimg.com/novel-pic/1c6c26ec0145dce1d2203a48314b8942~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1766980642&x-signature=AqDoejtrnzAR7%2Bf3iPLvXZhW798%3D,,杨剑勐
回魂计,2025,,tv,8.5,2025/10/9,以一宗诈骗绑架案为引线，两位失去女儿的母亲因仇恨结盟，在神秘力量的协助下，竟将凶手复活、施以酷刑，只为亲手惩罚。她们在复仇与救赎之间愈陷愈深，不仅对抗谎言与操控的危险世界，更被迫面对友谊与道德的撕裂。当真相逐步揭开，复仇究竟能带来慰藉，还是吞噬她们最后的希望？,https://image.tmdb.org/t/p/w500/ukoPA4WnfIlApNtc7AF5TTLhouy.jpg,,傅孟柏
女帝莫慌，臣有亿点点计谋,2025,,short,8,2025-10-07,现代打工人赵奕穿越古代，成为大周纨绔，恰逢北狄兵临城下，他凭借各种骚操作大败敌军，随后揪出朝堂内奸，遭遇虫灾发现是小龙虾，在文斗中赢了南越使团，同时与女帝、国公府干金、敌国公主暖昧拉扯，感情逐渐升温…,https://images.tmdb.org/t/p/w342/bwN7mxGZaN0hQ2d8g7DXKQDzeVg.jpg,,待宣如;王成
女帝莫慌，臣有亿点点计谋,2025,,short,8,2025/10/7,现代打工人赵奕穿越古代，成为大周纨绔，恰逢北狄兵临城下，他凭借各种骚操作大败敌军，随后揪出朝堂内奸，遭遇虫灾发现是小龙虾，在文斗中赢了南越使团，同时与女帝、国公府千金、敌国公主暧昧拉扯，感情逐渐升温…,https://p3-novel-sign.byteimg.com/novel-pic/e981cf46fe88bf0ab5e48044441c9cfb~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1767584334&x-signature=NPym7tKLH5DTThn%2FtWfmEJO0kFE%3D,,王成
偏偏偏爱你,2025,,short,8.5,2025/10/6,姜云枝穿书成为豪门真假千金中的炮灰女配。原主为渣男沈旭洲割腕自杀，而她醒来后决定把握命运，做好首富太太这份高薪工作。严闻京起初对她与沈旭洲的纠葛无动于衷，却逐渐被她的鲜活吸引，两人从互相试探到心动,https://p9-novel-sign.byteimg.com/novel-pic/6cc5b526afe887bd7e0b97a6d5281bc4~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1767319459&x-signature=99sdNYo6oigzaZJdZKZOG49OhrE%3D,,赵廷义
真千金她是学霸,2025,,short,9,2025/10/4,出身山河省的学霸林思望，意外被认回京市豪门，面对家人的刁难和假千金的排挤，她不为所动，只专注学习，拿到京市户口后，她更是抓住机会疯狂学习，最终凭绝对实力考入顶尖学府，赢得了属于自己的辉煌人生,https://cdn.duanjubaike.cn/cover/2025/10/6Ve4bPvieYkZfaZDgHNLwzEqXIWtjQ3fg9VPhmET.jpg,,张颖菲
杀死Air,2025,,short,8.5,2025/10/3,本剧讲述科学家燕天北因女友车祸身亡，意外触发实验事故，穿越至民国时期的上海。卷入日军间谍“Air”盗取十九路军城防图的悬案中，发现自己陷入时间循环，必须在一次次死亡中获取线索。燕天北试图通过女友的姥姥传递信息以改写命运，却陷入军统清剿地下党的阴谋。最终他揭露间谍身份、挽救同志，成功改变历史，却因心脏衰竭濒临死亡。,https://cdn.duanjubaike.cn/cover/2025/12/X5IMpMAfcoC5gWxkccFJCoF1yZjHdav7AcBtdOJC.jpg,,李星昊
逆袭人生之灵魂互换,2025,,short,8,2025/9/20,一场意外车祸，让富二代赵阔与外卖小哥刘辉灵魂互换。赵阔突然体验到贫困生活的艰辛，面对高额债务和家庭困境，他拒绝屈服，决心自己解决问题。而刘辉则沉醉于突如其来的富贵生活，变得嚣张跋扈，甚至不惜伤害赵阔的亲人。两人截然不同的选择，不仅考验着他们的品格，也揭示了人性的复杂。当赵阔努力维系刘辉家庭的温暖时，刘辉却在挥霍赵家的财富。这场灵魂互换，究竟会带来怎样的人生逆袭？,https://img.ffzy888.com/upload/vod/20241019-1/35cbe183455955d3a06f22bca81b1bd6.jpg,,张屹杨
千王令,2025,,short,8,2025/9/20,张鹏幼年父母被赌徒做局身亡，得知仇人是杨树林后，带着一身千术来到黄县，结识瑶瑶与陈婉婷，为报答瑶瑶卷入沈家内斗并接近仇人杨树林，最终在赌局中获胜。改编自番茄小说《老千：黑白人生》，作者：武棋,https://cdn.duanjubaike.cn/cover/2025/11/zJNTQicPj70bK3x5J92KmviDFRMelGlJqCsR3dph.jpg,,孔奇力
昭然赴礼,2025,,short,8.5,2025/9/12,初入江洲大学任教的许惟昭，本想平静生活，却一夜间被人下药，与方肃礼意外纠缠。他说“跟着我，我护着你”，她原本准备随时抽身，直到那句“昭昭，别不要我”让她乱了心。该短剧改编自小说《大佬，出门记得装不熟》，作者卢小久。,https://cdn.duanjubaike.cn/cover/2025/10/uzaOucpjqOqqvFViOLzCDfvrXnNonKh1YLesR2uo.jpg,,王凯沐;王格格
如你所愿,2025,,short,8,2025/9/11,一场精心策划的阴谋，一场错综复杂的豪门恩怨！替身女儿果果背后隐藏着怎样的秘密？苏寒烟为何痛下杀手？叶凡能否识破枕边人的真面目？真相背后，是爱恨交织的复仇烈火！,https://s3.suju.app/@xdj/42/yQM4xs/0.jpg,,范高坡
宠妻，引发财富连锁反应,2025,,short,8,2025/9/11,苏原与赵清雪新婚遭赵母反对，意外绑定给老婆花钱十倍返利系统后逆袭。苏原通过为赵清雪消费积累财富，获赵母认可，还反击金志文等阻挠，向赵清雪解释系统，两人感情加深，苏原助赵清雪解决危机。,https://p6-novel-sign.byteimg.com/novel-pic/1ef3b4c3ee4991bef67848d621bf6ea3~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1768557301&x-signature=mInQJTTBKYJ%2Fx52dHLN31mDCc60%3D,,范高坡
黑料局中局,2025,,short,8,2025/9/11,重生后的陆轩绑定“黑料系统”，拍摄他人即可揭露其罪证。他报复前世仇敌，改造恶人获取丰厚奖励，周旋于校花、教授、商界精英之间，最终揭开家族阴谋，成为人生赢家。,https://p9-novel-sign.byteimg.com/novel-pic/566ce42f925a2118989e191497e4b563~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1772425658&x-signature=%2Fxt6dihg%2BcmI%2BhVE16ouBNGU%2B54%3D,,范高坡
乡村圣手小医王,2025,,short,7.5,2025/9/10,清水村首位大学生陈阳，暑假回乡为帮同村寡妇李香莲抵御村霸，不幸被打成傻子，此后三年与李香莲相依为命。后来陈阳再次保护李香莲时，意外获得“玄黄道人”的传承，不仅治好了傻病，还掌握了高超的医术与玄法。凭借这些，他守护李香莲、与村霸斗智斗勇，更凭借医术和智慧创造财富，最终走出乡村，走向更广阔的天地，收获了成功与尊重，登上人生巅峰。,https://pic.youkupic.com/upload/vod/20250909-1/b160ca6db0a9e19e1ac70c074386d9a7.jpg,,邓威
被公司辞退，我的情报每日刷新,2025,,short,8,2025/9/10,陈肃失业失恋后得到“情报系统”，聪明的他懂得将情报转换成价值，开始人生逆袭。他不仅实现了财富的增长，也帮助了别人，还报复了前公司欺负他的领导以及嫌贫爱富抛弃自己的前女友，最终拥有了灿烂的人生。,https://cdn.duanjubaike.cn/cover/2025/11/RpRWHKQ0crx3gGAJdxcNYPTXIobF79ik5ulDaIkv.jpg,,李进源
死神来了：血脉诅咒,2025,,movie,8.5,2025/9/5,大学生斯蒂芬妮（凯特琳·桑塔·胡安娜 Kaitlyn Santa Juana 饰）长期被噩梦困扰，她决定返回家乡寻找噩梦起源，却意外发现曾发生在外婆艾莉丝身上的离奇旧事，并牵连出流淌在整个家族血脉中的秘密：死神诅咒。当她试图破解诅咒密码，却发现死神的镰刀早已垂下…… 随着身边亲人一个个离奇惨死，斯蒂芬妮还能带领幸存者逃脱死神的宿命猎杀吗？,https://image.tmdb.org/t/p/w500/d9GpZ1hYLRoFLZxEXVZJ89t6CUS.jpg,,凯特琳·桑塔·胡安娜;特欧·布里奥尼斯
幸得相遇离婚时,2025,,short,8.5,2025/9/5,唐颖曾为丈夫当全职太太，怀孕五月却遭其与第三者欺辱赶出。离婚后，她嫁给了极具魅力的江辞云，江辞云助她成长，二人先婚后爱，联手报复前夫与第三者，终获事业爱情双丰收。,https://cdn.duanjubaike.cn/cover/2025/10/ZUfZpVMLLvOHcwZnQBWv2A6a1INpg34djsZkdaSw.jpg,,刘萧旭;王小亿
当爹又当妈,2025,,short,8,2025/9/4,一场车祸致使唐沫失去生育能力，渴望新生命的家庭陷入阴霾。 宋歌顶住亲戚嘲讽与外界压力，做出重要决定，却因此与唐沫产生信任危机。 职场上，宋歌遭上司孙菲刁难，被迫离职，后因能力出众被董事长召回并升职。 怀恨在心的孙菲暗中报复，竟绑架婴儿。 关键时刻，唐沫挺身而出，揭露当年车祸竟是孙菲蓄意谋划的阴谋。 警方迅速行动，孙菲被绳之以法。,content://com.android.providers.media.documents/document/image%3A1000136555,,王成
请回答1937,2025,,short,9,2025-09-03,现代女大学生陈念初在探寻曾祖父陈云祥失踪之谜时，手机意外穿越到1937年，被富家公子张彦卿捡到。两人通过手机展开跨时空交流，陈念初以未来人的身份与张彦卿互动，并借助历史知识帮助他预见日军轰炸，促使张彦卿逐渐觉醒，最终投身救国事业,https://images.tmdb.org/t/p/w342/45QIj0UFe38cFNATvFccw4nlxDc.jpg,https://images.tmdb.org/t/p/w780/hHduMPRMtA6msDNjv3CRn0w6Ex7.jpg,左铭
请回答1937,2025,,short,9.5,2025/9/3,2024年少女意外连线1937年爱国少爷，一场跨越时空的爱恋与救国行动就此展开。他能否改变历史？她又将如何抉择？当爱情与家国命运交织，他们又将谱写怎样的传奇？,https://s3.suju.app/@xdj/53/yVkrVU/0.jpg,,左铭;李若琪
终极陈情,2025,,short,7.5,2025/9/2,顶级律师陈真真扬名在外，郭艳求其为自家艺人吴文韬性侵在校女大学生案做辩护。庭审前夜，陈真真的女儿春春夏夏因被误认偷拍遭受了吴文韬等人的打压，在得知吴文韬的辩护律师是自己母亲时，夏夏欲告知母亲吴文韬的罪行，吴文韬不相信陈真真是其母亲，还将夏夏打得命悬一线。陈真真赶到现场亮明身份救女，吴文韬说其是假冒的，对陈真真及其女儿又进行了打压。庭审当日，陈真真携证据入场，吴文韬惊觉昨天的人就是律师陈真真。,https://p3-novel-sign.byteimg.com/novel-pic/de87929ab622df6df4a9cdd1312da721~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1772391447&x-signature=7nKsUzhWFQN8P7ay4SxUqfih8II%3D,,咸俊旭
